address,bedrooms,area,price
"Barra da Tijuca, Rio de Janeiro - RJ",2,45,240000
"Avenida Afonso Arinos de Melo Franco, 239 - Barra da Tijuca, Rio de Janeiro - RJ",3,89,850000
"Rua César Lattes, 260 - Barra da Tijuca, Rio de Janeiro - RJ",2,80,640000
"Avenida Comandante Júlio de Moura, 948 - Barra da Tijuca, Rio de Janeiro - RJ",3,160,1790000
"Avenida Lúcio Costa - Barra da Tijuca, Rio de Janeiro - RJ",4,140,2350000
"Avenida Lúcio Costa, 3646 - Barra da Tijuca, Rio de Janeiro - RJ",3,156,3200000
"Barra da Tijuca, Rio de Janeiro - RJ",2,69,540000
"Avenida Embaixador Abelardo Bueno - Barra da Tijuca, Rio de Janeiro - RJ",2,78,450000
"Avenida Vice-Presidente José Alencar - Barra da Tijuca, Rio de Janeiro - RJ",3,86,690000
"Rua Fortunato de Brito, 215 - Freguesia- Jacarepaguá, Rio de Janeiro - RJ",2,56,336000
"Avenida Lúcio Costa, 3360 - Barra da Tijuca, Rio de Janeiro - RJ",4,160,3000000
"Avenida Pepe - Barra da Tijuca, Rio de Janeiro - RJ",2,157,2850000
"Rua Vilhena de Morais, 100 - Barra da Tijuca, Rio de Janeiro - RJ",1,59,460000
"Rua César Lattes - Barra da Tijuca, Rio de Janeiro - RJ",3,116,1220000
"Avenida Flamboyants da Península - Barra da Tijuca, Rio de Janeiro - RJ",4,19,2490000
"Rua Professor Ferreira da Rosa - Barra da Tijuca, Rio de Janeiro - RJ",2,90,1200000
"Avenida Ayrton Senna - Barra da Tijuca, Rio de Janeiro - RJ",3,104,980000
"Barra da Tijuca, Rio de Janeiro - RJ",3,78,999000
"Avenida Embaixador Abelardo Bueno, 111 - Barra da Tijuca, Rio de Janeiro - RJ",3,110,800000
"Avenida Lúcio Costa - Barra da Tijuca, Rio de Janeiro - RJ",1,80,1900000
"Avenida Embaixador Abelardo Bueno - Barra da Tijuca, Rio de Janeiro - RJ",3,86,550000
"Rua Gumercindo da Silva - Barra da Tijuca, Rio de Janeiro - RJ",2,95,990000
"Rua Desenhista Luiz Guimarães, 260 - Barra da Tijuca, Rio de Janeiro - RJ",5,152,1200000
"Avenida Lúcio Costa, 3150 - Barra da Tijuca, Rio de Janeiro - RJ",2,99,1590000
"Avenida Lúcio Costa, 3650 - Barra da Tijuca, Rio de Janeiro - RJ",2,100,1180000
"Avenida Lúcio Costa, 5100 - Barra da Tijuca, Rio de Janeiro - RJ",4,400,25000000
"Avenida Flamboyants da Península, 100 - Barra da Tijuca, Rio de Janeiro - RJ",2,75,865000
"Rua Coronel Paulo Malta Rezende, 35 - Barra da Tijuca, Rio de Janeiro - RJ",2,65,539900
"Avenida Embaixador Abelardo Bueno, 111 - Barra da Tijuca, Rio de Janeiro - RJ",3,93,560000
"Rua Aroazes, 200 - Barra da Tijuca, Rio de Janeiro - RJ",3,70,455000
"Avenida Prefeito Dulcídio Cardoso, 11000 - Barra da Tijuca, Rio de Janeiro - RJ",3,120,1045000
"Avenida Flamboyants da Península - Barra da Tijuca, Rio de Janeiro - RJ",2,96,1040000
"Rua Franco Zampari, 1 - Barra da Tijuca, Rio de Janeiro - RJ",3,107,621369
"Avenida Ayrton Senna, 233 - Barra da Tijuca, Rio de Janeiro - RJ",2,92,905000
"Avenida Vice-Presidente José Alencar, 1415 - Barra da Tijuca, Rio de Janeiro - RJ",5,145,1600000
